turn,execution,tmig,batteryenergy,temp1,temp2,mig,core,dtime,latency
0,-1,0,28800,32,32,0,0,0,0
0,0,0,27830,32,44,0,2,50,0
0,0,0,27830,32,44,0,2,50,2
0,0,0,27830,32,44,0,2,50,3
0,0,0,27830,32,44,0,2,50,4
0,0,0,27835,32,44,0,2,49,0
0,0,0,27835,32,44,0,2,49,2
0,0,0,27835,32,44,0,2,49,3
0,0,0,27835,32,44,0,2,49,4
0,0,0,27838,35,32,0,1,50,0
0,0,0,27838,35,32,0,1,50,1
0,0,0,27838,35,32,0,1,50,2
0,0,0,27838,35,32,0,1,50,3
0,0,0,27838,35,32,0,1,50,4
0,0,0,27839,35,32,0,1,49,0
0,0,0,27839,35,32,0,1,49,1
0,0,0,27839,35,32,0,1,49,2
0,0,0,27839,35,32,0,1,49,3
0,0,0,27839,35,32,0,1,49,4
0,0,0,27875,32,44,0,2,50,0
0,0,0,27875,32,44,0,2,50,2
0,0,0,27875,32,44,0,2,50,3
0,0,0,27875,32,44,0,2,50,4
0,0,0,27880,32,44,0,2,49,0
0,0,0,27880,32,44,0,2,49,2
0,0,0,27880,32,44,0,2,49,3
0,0,0,27880,32,44,0,2,49,4
0,0,0,27883,35,32,0,1,50,0
0,0,0,27883,35,32,0,1,50,1
0,0,0,27883,35,32,0,1,50,2
0,0,0,27883,35,32,0,1,50,3
0,0,0,27883,35,32,0,1,50,4
0,0,0,27884,35,32,0,1,49,0
0,0,0,27884,35,32,0,1,49,1
0,0,0,27884,35,32,0,1,49,2
0,0,0,27884,35,32,0,1,49,3
0,0,0,27884,35,32,0,1,49,4
0,0,0,27885,32,44,0,2,48,0
0,0,0,27885,32,44,0,2,48,2
0,0,0,27885,32,44,0,2,48,3
0,0,0,27885,32,44,0,2,48,4
0,0,0,27887,32,44,0,2,50,0
0,0,0,27887,32,44,0,2,50,2
0,0,0,27887,32,44,0,2,50,3
0,0,0,27887,32,44,0,2,50,4
0,0,0,27890,32,44,0,2,47,0
0,0,0,27890,32,44,0,2,47,2
0,0,0,27890,32,44,0,2,47,3
0,0,0,27890,32,44,0,2,47,4
0,0,0,27892,32,44,0,2,49,0
0,0,0,27892,32,44,0,2,49,2
0,0,0,27892,32,44,0,2,49,3
0,0,0,27892,32,44,0,2,49,4
0,0,0,27895,32,44,0,2,46,0
